tingkat_kelas,jalur_masuk,pendapatan_ortu,jumlah_tanggungan,jarak_rumah_km,riwayat_tunggakan_bulan,nominal_tagihan,status_pembayaran
0,3,2730746.0,1,78,0,750000,1
1,3,4789791.0,3,121,2,500000,1
5,3,2092632.0,3,93,1,500000,0
1,0,13925714.0,5,98,1,500000,0
1,1,14643793.0,2,82,1,1500000,1
4,2,14643504.0,3,38,0,500000,0
5,3,11360786.0,2,14,1,1000000,0
5,3,2662189.0,3,136,2,1500000,1
5,3,13759034.0,5,91,0,1500000,1
1,1,7230385.0,4,54,0,1500000,0
0,3,10302907.0,5,130,0,500000,0
5,3,3881486.0,1,101,0,1500000,0
2,2,13564766.0,3,89,2,500000,0
1,2,8213070.0,1,56,1,500000,0
4,3,9668326.0,1,94,2,1500000,0
0,1,14050508.0,2,93,1,750000,1
2,1,6893455.0,3,84,2,750000,1
2,3,1625438.0,1,85,3,1500000,1
4,3,5270183.0,4,22,3,750000,1
0,3,11805651.0,1,35,3,1000000,0
1,3,8585904.0,4,16,3,1000000,0
3,3,8199744.0,2,50,0,500000,0
0,3,12087999.0,1,122,0,750000,0
4,1,10524327.0,5,128,2,1000000,1
2,3,4301445.0,2,113,2,1500000,1
1,3,10696866.0,4,17,3,750000,1
0,3,14413082.0,2,80,1,1000000,1
3,3,12752748.0,1,130,3,1000000,0
3,2,13453070.0,3,132,2,1500000,1
5,3,8339789.0,3,85,3,500000,0
5,3,10070556.0,4,94,2,1500000,1
4,3,4082814.0,4,134,3,500000,0
0,2,5269457.0,3,81,1,1000000,0
0,2,2706751.0,4,69,3,500000,0
2,3,2453692.0,2,69,1,1000000,0
2,3,1717770.0,5,148,1,1000000,0
2,3,5599906.0,5,16,2,750000,0
5,3,6336917.0,2,51,1,500000,0
0,3,8469129.0,5,105,0,500000,1
0,3,12325853.0,1,66,0,500000,0
3,3,7410184.0,2,9,0,1500000,0
5,3,7582199.0,4,107,2,750000,0
1,0,12591490.0,2,100,0,750000,0
5,3,6801533.0,3,86,2,750000,0
1,3,3290008.0,4,64,2,1500000,0
3,3,3326525.0,3,22,0,500000,0
4,3,6013070.0,4,110,1,500000,1
0,0,11227138.0,5,97,3,500000,0
3,3,8917874.0,2,18,2,750000,1
0,3,7651537.0,1,71,0,750000,0
2,2,5966951.0,4,127,2,1000000,1
4,3,12070521.0,4,97,1,1500000,0
4,3,2978768.0,3,1,1,1500000,1
3,0,8589478.0,5,132,0,750000,0
4,3,11453821.0,3,4,2,1000000,0
1,3,12652006.0,3,125,3,500000,1
4,1,6624674.0,5,82,3,750000,1
0,3,9826435.0,1,27,2,1500000,0
0,3,10576760.0,3,59,2,1500000,0
